user_interview_id,answers_id,grade,duration_time_audio,duration_time_db
446521,463,30,39,40
446522,599,20,43,60
446523,446,30,39,40
446525,429,30,39,40
446526,463,30,31,40
446527,242,30,39,40
446528,225,30,39,40
446530,208,30,38,40
446532,100,30,14,15
446534,38,30,38,40
446536,565,20,57,60
446537,497,30,35,40
446538,582,20,56,60
446539,599,20,59,60
446544,497,30,37,40
446557,548,25,48,50
446560,646,15,119,120
446569,463,30,38,40
446582,497,30,39,40
446585,480,30,38,40
446586,463,30,34,40
446589,565,20,59,60
446590,293,20,59,60
446591,276,20,58,60
446593,259,20,56,60
446608,582,20,59,60
446614,480,30,39,40
446615,548,25,49,50
446616,293,20,59,60
446618,531,25,49,50
446619,463,30,38,40
446622,514,25,49,50
446624,497,30,39,40
446625,463,30,39,40
446636,646,15,117,120
446644,463,30,13,40
446648,514,25,49,50
446657,480,30,33,40
446658,463,30,28,40
446661,599,20,59,60
446664,616,15,115,120
446665,616,15,101,120
446666,631,15,104,120
446668,646,15,106,120
446679,242,30,38,40
446680,225,30,36,40
446681,208,30,34,40
446682,55,20,58,60
446684,21,20,58,60
446687,599,20,58,60
446689,582,20,58,60
446690,565,20,58,60
446694,72,25,17,50
446711,646,15,119,120
446713,631,15,116,120
446716,631,15,117,120
446717,646,15,115,120
446719,599,20,59,60
446721,599,20,59,60
446722,293,20,58,60
446723,293,20,58,60
446724,548,25,48,50
446725,378,25,46,50
446726,497,30,36,40
446735,646,15,107,120
446744,327,20,59,60
446748,599,20,59,60
446750,599,20,54,60
446751,599,20,53,60
446753,582,20,57,60
446764,646,15,119,120
446767,327,20,59,60
446774,310,20,9,60
446775,276,20,7,60
446776,259,20,8,60
446777,140,20,8,60
446778,123,20,59,60
446779,582,20,41,60
446781,565,20,43,60
446782,293,20,48,60
446784,599,20,40,60
446789,293,20,59,60
446791,548,25,48,50
446803,480,30,39,40
446804,259,20,59,60
446809,259,20,59,60
446812,327,20,7,60
446813,327,20,58,60
446816,140,20,48,60
446818,548,25,49,50
446826,497,30,38,40
446839,310,20,59,60
446840,599,20,59,60
446841,582,20,59,60
446850,106,20,59,60
446852,599,20,59,60
446857,497,30,39,40
446858,565,20,55,60
446859,565,20,55,60
446861,599,20,54,60
446869,480,30,39,40
446870,646,15,119,120
446890,276,20,59,60
446891,599,20,59,60
446892,646,15,77,120
446896,616,15,119,120
446922,140,20,58,60
446930,123,20,58,60
446940,55,20,59,60
446941,55,20,59,60
446956,446,30,37,40
446959,599,20,59,60
446960,429,30,39,40
446961,429,30,30,40
446963,242,30,26,40
446966,582,20,59,60
446969,514,25,49,50
446971,582,20,59,60
446979,599,20,59,60
446982,582,20,57,60
446984,548,25,49,50
446987,548,25,49,50
446990,646,15,119,120
446997,480,30,37,40
446998,599,20,59,60
447012,646,15,84,120
447013,599,20,59,60
447014,463,30,32,40
447015,582,20,59,60
447024,497,30,21,40
447025,631,15,115,120
447027,616,15,114,120
447030,480,30,34,40
447032,463,30,35,40
447053,21,20,59,60
447058,514,25,49,50
447061,582,20,59,60
447063,463,30,39,40
447064,582,20,30,60
447067,480,30,15,40
447074,480,30,39,40
447075,582,20,53,60
